fullmove_number;ply_number;turn;san;lan;score;score_change;score_change_category;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;possible_moves_quality;captures;is_capture_count;is_capture_weighted;attackers_white;attackers_count_white;attacked_pieces_white;attacked_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;attacked_guarded_pieces_white;attacked_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;threats_count_white;forking_pieces_white;fork_count_white;pin_count_white;skewer_count_white;attackers_black;attackers_count_black;attacked_pieces_black;attacked_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;attacked_guarded_pieces_black;attacked_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;threats_count_black;forking_pieces_black;fork_count_black;pin_count_black;skewer_count_black;attackers_centipawn_white;attacked_pieces_centipawn_white;guards_centipawn_white;guarded_pieces_centipawn_white;attacked_guarded_pieces_centipawn_white;unopposed_threats_centipawn_white;threats_centipawn_white;attackers_centipawn_black;attacked_pieces_centipawn_black;guards_centipawn_black;guarded_pieces_centipawn_black;attacked_guarded_pieces_centipawn_black;unopposed_threats_centipawn_black;threats_centipawn_black;attackers_count_all;attacked_pieces_count_all;guards_count_all;guarded_pieces_count_all;attacked_guarded_pieces_count_all;unopposed_threats_count_all;threats_count_all;fork_count_all;pin_count_all;skewer_count_all;attacked_pieces_centipawn_all;guarded_pieces_centipawn_all;attacked_guarded_pieces_centipawn_all;unopposed_threats_centipawn_all;threats_centipawn_all;attack_defense_relation1;attack_defense_relation2;material;pawn_ending;rook_ending
1;1;True;e4;e2-e4;15;15;0.234375;20;e7e5;41;26;0;False;False;False;20;0.0;;0;0;;0;;0;h1, f1, e1, b1, c1, d1, e1, d1, c1, a1, h1, e1, d1, e1, d1, a1;16;b1, c1, d1, e1, f1, g1, a2, b2, c2, d2, f2, g2, h2;13;;0;;0;0;;0;0;0;;0;;0;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, b8, c8, d8, e8, d8, c8, a8;20;a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;0;;0;0;0;0;0;6800;2800;0;0;0;0;0;8300;2900;0;0;0;0;0;36;27;0;0;0;0;0;0;0;5700;0;0;0;0;-1600;0;False;False
1;2;False;e5;e7-e5;70;55;0.859375;20;b1c3;58;12;0;False;False;False;29;0.0;;0;0;;0;;0;h1, f1, e1, b1, c1, d1, e1, d1, c1, a1, h1, e1, d1, e1, d1, a1;16;b1, c1, d1, e1, f1, g1, a2, b2, c2, d2, f2, g2, h2;13;;0;;0;0;;0;0;0;;0;;0;h8, e8, d8, e8, d8, a8, h8, f8, e8, b8, c8, d8, e8, d8, c8, a8;16;a7, b7, c7, d7, f7, g7, h7, b8, c8, d8, e8, f8, g8;13;;0;;0;0;;0;0;0;0;0;6800;2800;0;0;0;0;0;6800;2800;0;0;0;0;0;32;26;0;0;0;0;0;0;0;5600;0;0;0;0;0;0;False;False
2;3;True;Nf3;Ng1-f3;42;28;0.4375;29;b8c6;4;38;1;False;False;False;29;0.0;;0;0;;0;;0;d1, g2, h1, f3, f1, e1, b1, c1, d1, e1, f3, d1, c1, a1, e1, h1, d1, f3, e1, d1, a1;21;b1, c1, d1, e1, f1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;;0;0;;0;0;0;f3;1;e5;1;h8, e8, d8, e8, d8, a8, h8, f8, e8, b8, c8, d8, e8, d8, c8, a8;16;a7, b7, c7, d7, f7, g7, h7, b8, c8, d8, e8, f8, g8;13;;0;e5;1;1;;0;0;0;0;0;8700;2800;0;0;0;300;100;6800;2800;0;100;100;1;1;37;26;0;1;1;0;0;0;100;5600;0;100;-100;400;2300;0;False;False
2;4;False;Nc6;Nb8-c6;71;29;0.453125;29;f1b5;70;1;0;False;False;False;27;0.037037037037037035;e5;1;0;;0;;0;d1, g2, h1, f3, f1, e1, b1, c1, d1, e1, f3, d1, c1, a1, e1, h1, d1, f3, e1, d1, a1;21;b1, c1, d1, e1, f1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;;0;0;;0;0;0;f3;1;e5;1;h8, e8, d8, c6, e8, a8, d8, h8, f8, e8, c8, d8, e8, d8, c8, c6, a8, b7, d7, c6;20;e5, c6, a7, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;e5;1;;0;0;;0;0;0;0;0;8700;2800;0;0;0;300;100;7600;2900;100;0;0;1;1;41;27;1;0;0;0;0;0;100;5700;100;0;0;0;1400;0;False;False
3;5;True;Bb5;Bf1-b5;39;32;0.5;27;a7a6;54;15;0;False;False;False;30;0.0;;0;0;;0;;0;d1, g2, h1, f3, e1, b1, c1, d1, e1, f3, d1, c1, a1, d1, h1, f3, e1, d1, a1;19;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;;0;0;;0;0;1;b5, f3;2;c6, e5;2;h8, e8, d8, c6, e8, a8, d8, h8, f8, e8, c8, d8, e8, d8, c8, c6, a8, b7, d7, c6;20;e5, c6, a7, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;0;;0;0;0;0;0;8400;2400;0;0;0;600;400;7600;2900;400;0;0;2;2;39;25;2;0;0;0;0;1;400;5300;400;0;0;100;1300;0;False;False
3;6;False;a6;a7-a6;67;28;0.4375;30;b5a4;83;16;0;False;False;False;32;0.0;c6, a6, e5;3;0;a6;1;b5;1;d1, g2, h1, f3, e1, b1, c1, d1, e1, f3, d1, c1, a1, d1, h1, f3, e1, d1, a1;19;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;b5;1;1;;0;0;1;b5, b5, f3;3;a6, c6, e5;3;h8, e8, d8, c6, e8, a8, d8, h8, f8, e8, c8, d8, e8, d8, c8, b7, d7, b7, a8, c6;20;e5, a6, c6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, a6, e5;3;;0;0;;0;0;0;100;300;8400;2400;0;300;300;900;500;7400;2900;500;0;0;4;4;39;25;3;1;1;0;0;1;800;5300;500;300;300;-600;1500;0;False;False
4;7;True;Ba4;Bb5-a4;16;51;0.796875;32;g8f6;20;4;0;False;False;False;32;0.0;;0;0;;0;;0;d1, g2, h1, f3, e1, b1, c1, d1, e1, f3, d1, a4, c1, a1, d1, h1, f3, e1, d1, a1;20;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;;0;0;;0;0;1;a4, f3;2;c6, e5;2;h8, e8, d8, c6, e8, a8, d8, h8, f8, e8, c8, d8, e8, d8, c8, b7, d7, b7, a8, c6;20;e5, a6, c6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;0;;0;0;0;0;0;8700;2400;0;0;0;600;400;7400;2900;400;0;0;2;2;40;25;2;0;0;0;0;1;400;5300;400;0;0;100;1800;0;False;False
4;8;False;Nf6;Ng8-f6;61;45;0.703125;32;a4c6;87;26;0;False;False;False;27;0.0;c6, e5;2;0;f6;1;e4;1;d1, g2, h1, f3, e1, b1, c1, d1, e1, f3, d1, a4, c1, a1, d1, h1, f3, e1, d1, a1;20;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;e4;1;1;;0;0;1;a4, f3;2;c6, e5;2;e8, h8, f6, d8, c6, e8, a8, d8, f6, h8, f8, e8, f6, c8, d8, e8, d8, c8, g7, d8, b7, d7, b7, a8, c6;25;e5, a6, c6, f6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8;14;c6, e5;2;;0;0;;0;0;0;300;100;8700;2400;0;100;100;600;400;9300;2900;400;0;0;3;3;45;25;2;1;1;0;0;1;500;5300;400;100;100;-300;-500;0;False;False
5;9;True;O-O;O-O;3;58;0.90625;27;f6e4;10;7;1;False;False;True;30;0.0;e4;1;0;f6;1;e4;1;d1, g2, g1, f3, g1, f1, g1, b1, c1, d1, f3, d1, a4, c1, a1, f1, f3, d1, g1, f1, d1, a1;22;b1, c1, d1, f1, g1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;e4;1;1;;0;0;1;a4, f3;2;c6, e5;2;e8, h8, f6, d8, c6, e8, a8, d8, f6, h8, f8, e8, f6, c8, d8, e8, d8, c8, g7, d8, b7, d7, b7, a8, c6;25;e5, a6, c6, f6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8;14;c6, e5;2;;0;0;;0;0;0;300;100;9200;3000;0;100;100;600;400;9300;2900;400;0;0;3;3;47;27;2;1;1;0;0;1;500;5900;400;100;100;-300;600;0;False;False
5;10;False;Be7;Bf8-e7;83;80;1.25;30;b1c3;62;21;1;False;False;False;25;0.0;c6, e5;2;0;f6;1;e4;1;d1, g2, g1, f3, g1, f1, g1, b1, c1, d1, f3, d1, a4, c1, a1, f1, f3, d1, g1, f1, d1, a1;22;b1, c1, d1, f1, g1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;e4;1;1;;0;0;1;a4, f3;2;c6, e5;2;f6, d8, h8, c6, e7, e8, a8, d8, f6, h8, e8, c6, d8, e8, f6, c8, d8, e8, d8, c8, e7, g7, b7, d7, b7, a8, c6;27;e5, a6, c6, f6, b7, c7, d7, e7, f7, h7, c8, d8, e8;13;c6, e5;2;;0;0;;0;0;0;300;100;9200;3000;0;100;100;600;400;9900;2800;400;0;0;3;3;49;26;2;1;1;0;0;1;500;5800;400;100;100;-300;100;0;False;False
