fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers_white;attackers_count_white;threatened_pieces_white;threatened_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;threatened_guarded_pieces_white;threatened_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;attackers_black;attackers_count_black;threatened_pieces_black;threatened_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;threatened_guarded_pieces_black;threatened_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;pawn_ending;rook_ending
1;True;e4;e2-e4;47;20;Nf3;25;22;1;False;False;False;20;0;;0;;0;;0;;0;;0;;0;;0;;0;a8, b8, c8, d8, e8, f8, g8, h8;8;a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;False;False
1;False;e5;e7-e5;92;20;e6;42;50;2;False;False;False;29;0;;0;;0;a1, b1, c1, d1, e1, f1, h1;7;b1, c1, d1, e1, f1, g1, a2, b2, c2, d2, f2, g2, h2;13;;0;;0;;0;;0;;0;;0;;0;;0;False;False
2;True;Nf3;Ng1-f3;37;29;Nf3;44;7;0;False;False;False;29;0;;0;;0;;0;;0;;0;;0;f3;1;e5;1;a8, b8, c8, d8, e8, f8, h8;7;a7, b7, c7, d7, f7, g7, h7, b8, c8, d8, e8, f8, g8;13;;0;e5;1;False;False
2;False;Nc6;Nb8-c6;98;29;d6;88;10;1;False;False;False;27;1;;0;;0;a1, b1, c1, d1, e1, f1, h1, g2, f3;9;b1, c1, d1, e1, f1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;;0;f3;1;e5;1;;0;;0;;0;e5;1;False;False
3;True;Bb5;Bf1-b5;45;27;Bb5;31;14;0;False;False;False;30;0;;0;;0;;0;;0;;0;;0;b5, f3;2;c6, e5;2;c6, b7, d7, a8, c8, d8, e8, f8, h8;9;e5, c6, a7, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;False;False
3;False;a6;a7-a6;91;30;Nf6;92;1;1;False;False;False;32;3;a6;1;b5;1;a1, b1, c1, d1, e1, h1, g2, f3;8;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;b5;1;b5, f3;2;a6, c6, e5;3;;0;;0;;0;a6, c6, e5;3;False;False
4;True;Ba4;Bb5-a4;28;32;Bxc6;40;12;1;False;False;False;32;0;;0;;0;;0;;0;;0;;0;a4, f3;2;c6, e5;2;c6, b7, d7, a8, c8, d8, e8, f8, h8;9;e5, a6, c6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;False;False
4;False;Nf6;Ng8-f6;92;32;Be7;75;17;1;False;False;False;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, h1, g2, f3, a4;9;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;e4;1;a4, f3;2;c6, e5;2;;0;;0;;0;c6, e5;2;False;False
5;True;O-O;O-O;4;27;O-O;12;8;0;False;False;True;30;1;f6;1;e4;1;;0;;0;;0;e4;1;a4, f3;2;c6, e5;2;c6, f6, b7, d7, g7, a8, c8, d8, e8, f8, h8;11;e5, a6, c6, f6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8;14;c6, e5;2;;0;False;False
5;False;Be7;Bf8-e7;89;30;Nxe4;61;28;1;False;False;False;25;2;f6;1;e4;1;a1, b1, c1, d1, f1, g1, g2, f3, a4;9;b1, c1, d1, f1, g1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;e4;1;a4, f3;2;c6, e5;2;;0;;0;;0;c6, e5;2;False;False
