fullmove_number;ply_number;turn;san;lan;score;score_change;score_change_category;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;possible_moves_quality;captures;is_capture_count;is_capture_weighted;attackers_white;attackers_count_white;attacked_pieces_white;attacked_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;attacked_guarded_pieces_white;attacked_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;threats_count_white;forking_pieces_white;fork_count_white;pin_count_white;skewer_count_white;attackers_black;attackers_count_black;attacked_pieces_black;attacked_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;attacked_guarded_pieces_black;attacked_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;threats_count_black;forking_pieces_black;fork_count_black;pin_count_black;skewer_count_black;attackers_centipawn_white;attacked_pieces_centipawn_white;guards_centipawn_white;guarded_pieces_centipawn_white;attacked_guarded_pieces_centipawn_white;unopposed_threats_centipawn_white;threats_centipawn_white;attackers_centipawn_black;attacked_pieces_centipawn_black;guards_centipawn_black;guarded_pieces_centipawn_black;attacked_guarded_pieces_centipawn_black;unopposed_threats_centipawn_black;threats_centipawn_black;attackers_count_all;attacked_pieces_count_all;guards_count_all;guarded_pieces_count_all;attacked_guarded_pieces_count_all;unopposed_threats_count_all;threats_count_all;fork_count_all;pin_count_all;skewer_count_all;attacked_pieces_centipawn_all;guarded_pieces_centipawn_all;attacked_guarded_pieces_centipawn_all;unopposed_threats_centipawn_all;threats_centipawn_all;attack_defense_relation1;attack_defense_relation2;material;pawn_ending;rook_ending
1;1;True;d4;d2-d4;-7;7;0.109375;20;d7d5;26;33;1;False;False;False;20;0.0;;0;0;;0;;0;d1, h1, f1, e1, d1, e1, f1, g1, d1, c1, a1, h1, e1, d1, e1, d1, a1;17;b1, c1, d1, e1, f1, g1, a2, b2, c2, e2, f2, g2, h2, d4;14;;0;;0;0;;0;0;0;;0;;0;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, b8, c8, d8, e8, d8, c8, a8;20;a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;0;;0;0;0;0;0;7700;2900;0;0;0;0;0;8300;2900;0;0;0;0;0;37;28;0;0;0;0;0;0;0;5800;0;0;0;0;-600;0;False;False
1;2;False;Nf6;Ng8-f6;57;64;1.0;20;c1f4;64;7;1;False;False;False;28;0.0;;0;0;;0;;0;d1, h1, f1, e1, d1, e1, f1, g1, d1, c1, a1, h1, e1, d1, e1, d1, a1;17;b1, c1, d1, e1, f1, g1, a2, b2, c2, e2, f2, g2, h2, d4;14;;0;;0;0;;0;0;0;;0;;0;e8, h8, f6, d8, e8, d8, a8, f6, h8, f8, e8, d8, e8, f8, f6, b8, c8, d8, e8, d8, c8, a8, e7, g7;24;f6, a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8;14;;0;;0;0;;0;0;0;0;0;7700;2900;0;0;0;0;0;9100;2900;0;0;0;0;0;41;28;0;0;0;0;0;0;0;5800;0;0;0;0;-1400;0;False;False
2;3;True;c4;c2-c4;10;47;0.734375;28;e7e6;-28;38;1;False;False;False;22;0.0;;0;0;;0;;0;d1, h1, f1, e1, d1, e1, f1, g1, c1, a1, h1, e1, d1, e1, d1, a1;16;b1, c1, d1, e1, f1, g1, a2, b2, e2, f2, g2, h2, d4;13;;0;;0;0;;0;0;0;;0;;0;e8, h8, f6, d8, e8, d8, a8, f6, h8, f8, e8, d8, e8, f8, f6, b8, c8, d8, e8, d8, c8, a8, e7, g7;24;f6, a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8;14;;0;;0;0;;0;0;0;0;0;6800;2800;0;0;0;0;0;9100;2900;0;0;0;0;0;40;27;0;0;0;0;0;0;0;5700;0;0;0;0;-2400;0;False;False
2;4;False;g6;g7-g6;95;85;1.328125;22;b1c3;44;51;2;False;False;False;30;0.0;;0;0;;0;;0;d1, h1, f1, e1, d1, e1, f1, g1, c1, a1, h1, e1, d1, e1, d1, a1;16;b1, c1, d1, e1, f1, g1, a2, b2, e2, f2, g2, h2, d4;13;;0;;0;0;;0;0;0;;0;;0;e8, h8, f6, d8, e8, d8, a8, f6, h8, e8, d8, e8, f8, f6, b8, c8, d8, e8, d8, c8, a8, f7, h7, e7;24;f6, g6, a7, b7, c7, d7, e7, f7, h7, b8, c8, d8, e8, f8;14;;0;;0;0;;0;0;0;0;0;6800;2800;0;0;0;0;0;8900;2900;0;0;0;0;0;40;27;0;0;0;0;0;0;0;5700;0;0;0;0;-2200;0;False;False
3;5;True;Nc3;Nb1-c3;33;62;0.96875;30;d7d5;46;13;0;False;False;False;23;0.0;;0;0;;0;;0;d1, b2, h1, f1, e1, d1, e1, f1, g1, c3, c1, a1, c3, h1, e1, d1, e1, c3, a1, d1;20;c1, d1, e1, f1, g1, a2, b2, e2, f2, g2, h2, c3, d4;13;;0;;0;0;;0;0;0;;0;;0;e8, h8, f6, d8, e8, d8, a8, f6, h8, e8, d8, e8, f8, f6, b8, c8, d8, e8, d8, c8, a8, f7, h7, e7;24;f6, g6, a7, b7, c7, d7, e7, f7, h7, b8, c8, d8, e8, f8;14;;0;;0;0;;0;0;0;0;0;7800;2800;0;0;0;0;0;8900;2900;0;0;0;0;0;44;27;0;0;0;0;0;0;0;5700;0;0;0;0;-1200;0;False;False
3;6;False;d5;d7-d5;72;39;0.609375;23;c4d5;94;22;0;False;False;False;33;0.030303030303030304;d5, d5;2;0;d5;1;c4;1;d1, b2, h1, f1, e1, d1, e1, f1, g1, c3, c1, a1, c3, h1, e1, d1, e1, c3, a1, d1;20;c1, d1, e1, f1, g1, a2, b2, e2, f2, g2, h2, c3, d4;13;;0;c4;1;1;;0;0;0;c3, c4;2;d5;1;e8, h8, f6, d8, e8, d8, a8, f6, h8, e8, d8, e8, f8, d8, c8, a8, f7, h7, e7, f6, d8;21;d5, f6, g6, a7, b7, c7, e7, f7, h7, b8, c8, d8, e8, f8;14;d5;1;;0;0;;0;0;0;100;100;7800;2800;0;100;100;400;100;8300;2900;100;0;0;3;2;41;27;1;1;1;0;0;0;200;5700;100;100;100;-1000;-300;0;False;False
4;7;True;Nf3;Ng1-f3;32;40;0.625;33;f8g7;19;13;1;False;False;False;31;0.0;c4;1;0;d5;1;c4;1;d1, f3, e2, g2, b2, h1, f3, f1, e1, d1, e1, f1, c3, c1, a1, c3, e1, h1, d1, f3, e1, c3, a1, d1;24;c1, d1, e1, f1, a2, b2, e2, f2, g2, h2, c3, f3, d4;13;;0;c4;1;1;;0;0;0;c3, c4;2;d5;1;e8, h8, f6, d8, e8, d8, a8, f6, h8, e8, d8, e8, f8, d8, c8, a8, f7, h7, e7, f6, d8;21;d5, f6, g6, a7, b7, c7, e7, f7, h7, b8, c8, d8, e8, f8;14;d5;1;;0;0;;0;0;0;100;100;8600;2800;0;100;100;400;100;8300;2900;100;0;0;3;2;45;27;1;1;1;0;0;0;200;5700;100;100;100;-1000;500;0;False;False
4;8;False;Bg7;Bf8-g7;67;35;0.546875;31;c1g5;62;5;0;False;False;False;35;0.02857142857142857;d5, d5;2;0;d5;1;c4;1;d1, f3, e2, g2, b2, h1, f3, f1, e1, d1, e1, f1, c3, c1, a1, c3, e1, h1, d1, f3, e1, c3, a1, d1;24;c1, d1, e1, f1, a2, b2, e2, f2, g2, h2, c3, f3, d4;13;;0;c4;1;1;;0;0;0;c3, c4;2;d5;1;g7, f6, d8, h8, e8, d8, a8, f6, h8, e8, d8, e8, d8, c8, a8, f7, h7, e7, g7, f6, d8;21;d5, f6, g6, a7, b7, c7, e7, f7, h7, b8, c8, d8, e8, h8;14;d5;1;;0;0;;0;0;0;100;100;8600;2800;0;100;100;400;100;8600;3100;100;0;0;3;2;45;27;1;1;1;0;0;0;200;5900;100;100;100;-1000;0;0;False;False
5;9;True;cxd5;c4xd5;34;33;0.515625;35;f6d5;22;12;1;False;True;False;35;0.02857142857142857;d5, d5;2;0;f6, d8;2;d5;1;c3, d1, f3, e2, g2, b2, h1, f3, f1, e1, d1, e1, f1, c3, c1, a1, c3, e1, h1, d1, f3, e1, c3, a1, d1;25;c1, d5, e1, f1, d1, a2, b2, e2, f2, g2, h2, c3, f3, d4;14;d5;1;;0;0;;0;0;0;;0;;0;g7, f6, d8, h8, e8, d8, a8, f6, h8, e8, d8, e8, d8, c8, a8, f7, h7, e7, g7;19;f6, g6, a7, b7, c7, e7, f7, h7, b8, c8, d8, e8, h8;13;;0;;0;0;;0;0;1;1200;100;8900;2900;100;0;0;0;0;7400;3000;0;0;0;2;1;44;27;1;0;0;0;0;1;100;5900;100;0;0;-900;100;100;False;False
5;10;False;Nxd5;Nf6xd5;80;46;0.71875;35;e2e4;62;18;0;False;True;False;33;0.0;d5;1;-200;g7, d5;2;c3, d4;2;d1, f3, e2, g2, b2, h1, f3, f1, e1, d1, e1, f1, c3, c1, a1, c3, e1, h1, d1, f3, e1, c3, a1, d1;24;c1, d1, e1, f1, a2, b2, e2, f2, g2, h2, c3, f3, d4;13;d4, c3;2;;0;0;;0;0;0;c3;1;d5;1;g7, d8, h8, e8, d8, a8, h8, e8, d5, d8, e8, d5, d8, c8, a8, f7, h7, d8;18;d5, g6, a7, b7, c7, e7, f7, h7, b8, c8, d8, e8, h8;13;d5;1;;0;0;;0;1;0;600;400;8600;2800;400;0;0;300;300;7900;3000;300;0;0;3;3;42;26;3;0;0;0;1;0;700;5800;700;0;0;100;100;0;False;False
